t,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
default,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1995411300.0,1932904440.0,1870397580.0,1807890720.0,1745383860.0,1682877000.0,1625178360.0,1567479720.0,1509781080.0,1452082440.0,1394383800.0,1345099545.0,1295815290.0,1246531035.0,1197246780.0,1147962525.0,1098678270.0,1049394015.0,1000109760.0,950825505.0,901541250.0,852256995.0,802972740.0,753688485.0,704404230.0,655119975.0,605835720.0,556551465.0,507267210.0,457982955.0,408698700.0
90_by_2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1449363000.0,1372063640.0,1285101860.0,1207802500.0,1130503140.0,1043541360.0,966242000.0,886043914.0,804879586.0,724681500.0,644483414.0,563319086.0,483121000.0,466694886.0,451235014.0,434808900.0,418382786.0,402922914.0,386496800.0,370070686.0,354610814.0,338184700.0,321758586.0,306298714.0,289872600.0,273446486.0,257986614.0,241560500.0
95_by_2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1449363000.0,1401050900.0,1352738800.0,1304426700.0,1256114600.0,1207802500.0,1149827980.0,1101515880.0,1053203780.0,1004891680.0,957545822.0,908267480.0,858989138.0,809710796.0,760432454.0,711154112.0,661875770.0,613563670.0,564285328.0,515006986.0,465728644.0,416450302.0,367171960.0,317893618.0,268615276.0,219336934.0,170058592.0,120780250.0
2050_linear,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1450000000.0,1401666667.0,1353333333.0,1305000000.0,1256666667.0,1208333333.0,1160000000.0,1111666667.0,1063333333.0,1015000000.0,966666666.7,918333333.3,870000000.0,821666666.7,773333333.3,725000000.0,676666666.7,628333333.3,580000000.0,531666666.7,483333333.3,435000000.0,386666666.7,338333333.3,290000000.0,241666666.7,193333333.3,145000000.0,96666666.67,48333333.33,0.0
start2023_100pct2035,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1327059692.0,1216471385.0,1105883077.0,995294769.0,884706462.0,774118154.0,663529846.0,552941538.0,442353231.0,331764923.0,221176615.0,110588308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
start2023_95pct2035_100pct2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1340000000.0,1235019246.0,1133704869.0,1032390492.0,931076115.0,829761738.0,728447362.0,627132985.0,525818608.0,424504231.0,323189854.0,221875477.0,120561100.0,112523693.0,104486287.0,96448880.0,88411473.0,80374067.0,72336660.0,64299253.0,56261847.0,48224440.0,40187033.0,32149627.0,24112220.0,16074813.0,8037407.0,0.0
start2023_95pct2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1390609182.0,1343570364.0,1296531546.0,1249492729.0,1202453911.0,1155415093.0,1108376275.0,1061337457.0,1014298639.0,967259821.0,920221004.0,873182186.0,826143368.0,779104550.0,732065732.0,685026914.0,637988096.0,590949279.0,543910461.0,496871643.0,449832825.0,402794007.0,355755189.0,308716371.0,261677554.0,214638736.0,167599918.0,120561100.0
start2023_90pct2035_100pct2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1207802500.0,1127282333.0,1046762167.0,966242000.0,885721833.0,805201667.0,724681500.0,644161333.0,563641167.0,483121000.0,402600833.0,322080667.0,241560500.0,225456467.0,209352433.0,193248400.0,177144367.0,161040333.0,144936300.0,128832267.0,112728233.0,96624200.0,80520167.0,64416133.0,48312100.0,32208067.0,16104033.0,0.0
start2023_80pct2035_100pct2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1256114600.0,1191698467.0,1127282333.0,1062866200.0,998450067.0,934033933.0,869617800.0,805201667.0,740785533.0,676369400.0,611953267.0,547537133.0,483121000.0,450912933.0,418704867.0,386496800.0,354288733.0,322080667.0,289872600.0,257664533.0,225456467.0,193248400.0,161040333.0,128832267.0,96624200.0,64416133.0,32208067.0,0.0
start2023_70pct2035_100pct2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1304426700.0,1256114600.0,1207802500.0,1159490400.0,1111178300.0,1062866200.0,1014554100.0,966242000.0,917929900.0,869617800.0,821305700.0,772993600.0,724681500.0,676369400.0,628057300.0,579745200.0,531433100.0,483121000.0,434808900.0,386496800.0,338184700.0,289872600.0,241560500.0,193248400.0,144936300.0,96624200.0,48312100.0,0.0
