,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
0,p01001,4,72086,240.0,-14541.119,51115.893,-65657.012,2.691,169.005
1,p01001,4,72087,264.0,-8152.422,42765.64,-50918.062,1.304,170.442
2,p01001,4,72088,222.0,153446.78,49617.95,103828.83,7.058,173.369
3,p01001,4,72466,216.0,55811.847,95112.272,-39300.425,15.246,166.547
4,p01001,5,71325,252.0,28516.669,109144.369,-80627.699,14.57,128.134
5,p01001,5,71326,258.0,-40716.398,39955.241,-80671.639,0.705,138.173
6,p01001,5,71327,234.0,2908.011,64197.682,-61289.671,8.946,136.63
7,p01001,5,71328,234.0,52910.565,77581.049,-24670.484,14.465,138.643
8,p01001,5,71706,246.0,-50409.116,38673.12,-89082.237,0.435,153.147
9,p01001,5,71707,234.0,-11860.567,48522.836,-60383.403,1.791,151.172
10,p01001,5,71708,246.0,121394.067,83834.084,37559.984,16.423,147.68
11,p01003,5,77019,72.0,107842.527,112019.424,-4176.897,18.354,74.435
12,p01003,5,77020,240.0,-34431.276,49732.195,-84163.471,2.21,97.429
13,p01003,5,77399,162.0,-9995.953,47009.52,-57005.473,1.552,81.892
14,p01003,5,77400,234.0,-25130.523,61840.788,-86971.31,4.706,92.289
15,p01003,5,77779,192.0,47636.614,101737.172,-54100.558,16.913,53.501
16,p01003,5,77780,234.0,5152.293,76993.224,-71840.931,14.294,63.239
17,p01003,5,78159,174.0,-6747.943,45800.592,-52548.535,1.521,59.341
18,p01003,5,78160,246.0,106753.5,45716.346,61037.154,1.453,72.125
19,p01003,5,78161,246.0,32647.735,108854.794,-76207.059,21.912,63.239
20,p01003,5,78539,210.0,135220.731,157881.542,-22660.811,27.56,3.141
21,p01003,5,78540,240.0,166812.795,125576.173,41236.621,24.783,46.597
22,p01003,5,78541,234.0,20260.42,82227.909,-61967.489,16.547,74.814
23,p01003,5,78918,54.0,406275.844,82301.222,323974.622,6.903,3.141
24,p01003,5,78919,204.0,224656.626,144007.592,80649.034,25.84,3.141
25,p01003,5,78920,222.0,126234.723,88511.373,37723.349,15.402,46.597
26,p01003,5,78921,234.0,69251.37,108583.918,-39332.549,22.723,58.049
27,p01003,5,78922,234.0,48976.218,87670.638,-38694.42,18.305,86.206
28,p01003,5,79300,228.0,269872.401,45984.378,223888.023,5.693,58.049
29,p01003,5,79301,228.0,134734.526,80768.638,53965.888,17.309,58.049
30,p01003,5,79302,234.0,42127.482,58357.737,-16230.255,8.111,90.16
31,p01003,5,79680,240.0,235531.232,35758.16,199773.072,3.964,66.278
32,p01003,5,79681,222.0,211024.781,37293.333,173731.448,4.28,75.291
33,p01003,5,79682,246.0,47878.601,33411.693,14466.908,3.386,88.99
34,p01003,5,80060,228.0,314111.416,73119.5,240991.916,15.782,66.278
35,p01003,5,80061,222.0,528524.827,83493.54,445031.288,19.041,66.278
36,p01003,5,80062,234.0,190212.327,88788.493,101423.834,20.708,75.291
37,p01003,5,80441,204.0,483423.865,33256.046,450167.819,2.796,97.622
38,p01003,6,79299,54.0,1349733.792,157792.042,1191941.75,28.562,3.141
39,p01003,6,79679,126.0,1227028.301,190481.982,1036546.319,39.667,3.141
40,p01003,6,80440,78.0,211141.112,55609.608,155531.505,16.324,86.902
41,p01003,6,80442,156.0,948222.374,119893.366,828329.008,16.531,97.622
42,p01003,7,80819,60.0,334451.422,33738.464,300712.958,28.629,107.998
43,p01003,7,80820,54.0,741970.327,32875.884,709094.443,14.857,107.998
44,p01005,4,72858,234.0,60189.043,124827.239,-64638.196,23.929,287.565
45,p01005,4,73238,246.0,34284.958,105061.289,-70776.331,21.736,287.565
46,p01005,4,73239,234.0,24134.113,77583.926,-53449.813,11.628,317.009
47,p01005,4,73618,252.0,53345.965,126792.939,-73446.974,24.789,287.565
48,p01005,4,73619,228.0,105797.061,60789.876,45007.185,6.602,317.009
49,p01005,4,73999,234.0,87815.029,93203.426,-5388.397,16.479,317.009
50,p01005,5,73616,246.0,52018.076,126298.293,-74280.217,24.762,266.608
51,p01005,5,73617,216.0,19916.013,92879.289,-72963.276,15.536,287.565
52,p01005,5,73996,246.0,-11454.168,61033.035,-72487.203,4.367,302.61
53,p01005,5,73997,252.0,7725.767,78688.471,-70962.704,13.723,309.331
54,p01005,5,73998,258.0,-9190.155,72235.925,-81426.08,8.628,323.521
55,p01005,5,74376,252.0,-26588.154,35793.54,-62381.695,0.09,302.847
56,p01005,5,74377,258.0,-2247.291,72687.491,-74934.782,13.127,304.07
57,p01005,5,74378,234.0,-26562.154,47983.145,-74545.299,1.875,328.944
58,p01005,5,74379,252.0,12962.483,92255.468,-79292.986,10.286,331.222
59,p01005,5,74756,246.0,-23783.076,35000.022,-58783.098,0.0,304.018
60,p01005,5,74757,258.0,-27103.154,41473.261,-68576.414,0.996,316.411
61,p01007,4,69803,252.0,19772.582,95099.31,-75326.727,13.538,64.455
62,p01007,4,69804,246.0,-27596.358,37078.885,-64675.244,0.255,79.344
63,p01007,4,70182,252.0,42474.29,124936.516,-82462.226,22.192,70.259
64,p01007,4,70183,246.0,42207.568,55794.817,-13587.249,2.936,92.781
65,p01007,4,70562,252.0,44039.076,127092.417,-83053.341,20.261,92.781
66,p01007,5,69423,246.0,-29827.4,33151.18,-62978.579,2.533,64.455
67,p01007,5,69802,252.0,-11951.675,77996.456,-89948.131,11.041,70.259
68,p01007,5,70181,252.0,31801.847,129167.401,-97365.555,21.831,81.889
69,p01007,5,70184,240.0,58217.271,119981.624,-61764.353,24.335,70.715
70,p01007,5,70561,258.0,32145.909,128877.005,-96731.096,20.15,100.713
71,p01007,5,70563,252.0,25626.549,107792.17,-82165.621,13.905,93.253
72,p01007,5,70564,258.0,24089.555,103959.043,-79869.488,13.453,99.276
73,p01009,3,66386,222.0,101845.431,90233.625,11611.806,17.162,51.21
74,p01009,3,66765,240.0,84484.763,43119.815,41364.948,4.187,51.21
75,p01009,4,65627,228.0,53551.666,72812.87,-19261.204,13.338,87.748
76,p01009,4,66006,222.0,27536.656,47770.349,-20233.692,1.499,79.759
77,p01009,4,66385,240.0,66544.973,88976.845,-22431.872,15.149,51.21
78,p01009,5,65247,228.0,-8194.926,37149.202,-45344.128,0.217,110.254
