,r,rr,voltage,isd,ba_r,ba_rr,geometry_r,geometry_rr,ll
0,Bison,Alexandria,345,2032,37,43,POINT (-97.07594133595342 46.95074405068095),POINT (-95.40566894972102 45.84743321033518),177615.31172207568
1,Maple River,Riverton,345,2033,37,43,POINT (-96.87408792692817 46.91751490350292),POINT (-94.06142288586304 46.46066878196628),221769.14394408598
2,Iron Range,Arrowhead,345,2032,43,43,POINT (-93.30363063440532 47.230351041726344),POINT (-92.29397442913707 46.77157030813025),92349.89107959559
3,Big Stone South,Brookings County,765,2034,38,38,POINT (-96.50693878670205 45.281508125542246),POINT (-96.52931039032293 44.38943710056385),99320.07391157294
4,Brookings County,Lakefield Junction,765,2034,38,68,POINT (-96.52931039032293 44.38943710056385),POINT (-95.14358923061357 43.66999190024543),136704.95972110698
5,Lakefield Junction,Arbor Hill,765,2034,68,70,POINT (-95.14358923061357 43.66999190024543),POINT (-94.26271299558992 41.466883444153275),256521.09980684487
6,Lakefield Junction,Pleasant Valley,765,2034,68,68,POINT (-95.14358923061357 43.66999190024543),POINT (-92.68245294581492 43.80052029846926),197978.26968285046
7,Pleasant Valley,North Rochester,765,2034,68,43,POINT (-92.68245294581492 43.80052029846926),POINT (-92.6589601128621 44.22309135142405),47159.81390121569
8,Pleasant Valley,North Rochester,345,2032,68,43,POINT (-92.68245294581492 43.80052029846926),POINT (-92.6589601128621 44.22309135142405),47159.81390121569
9,North Rochester,Hampton,345,2032,43,43,POINT (-92.6589601128621 44.22309135142405),POINT (-92.99663503416218 44.638310196276954),53472.62368647759
10,North Rochester,Columbia,765,2034,43,76,POINT (-92.6589601128621 44.22309135142405),POINT (-89.41704626119734 43.48639144356229),272310.90980316186
11,Rocky Run,Werner,345,2032,75,76,POINT (-89.60527317095674 44.50007871719167),POINT (-88.71913327498129 44.42015889559869),70899.0834009083
12,Werner,North Appleton,345,2032,76,76,POINT (-88.71913327498129 44.42015889559869),POINT (-88.35458791107966 44.3684165722189),29532.435949503026
13,South Fond du Lac,Rockdale,345,2033,76,78,POINT (-88.4944063433893 43.73492585897313),POINT (-89.0426223584744 42.97705297713571),95473.58972275273
14,Rockdale,Arcadian,345,2033,78,79,POINT (-89.0426223584744 42.97705297713571),POINT (-88.1733055483977 43.008628642532585),70588.0878827229
15,Arcadian,Sugar Creek,345,2033,79,79,POINT (-88.1733055483977 43.008628642532585),POINT (-88.01226771429248 42.66439145351905),40630.59642108351
16,Sugar Creek,Kitty Hawk,345,2033,79,79,POINT (-88.01226771429248 42.66439145351905),POINT (-87.87638114184439 43.751915574518605),121941.51379578028
17,Bluemound,Arcadian,345,2032,79,79,POINT (-88.05379094465535 43.02875230973358),POINT (-88.1733055483977 43.008628642532585),9946.167382952763
